MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
2.4637,15.9,7.3286,1.7806,313,2.9133,38.4786,-119.8356,1.0552
5.6966,7.3,7.0897,1.4652,766,3.6977,37.3621,-116.3477,2.0816
2.6031,6.2,6.1057,1.4963,1936,4.0335,38.5947,-115.9897,1.1599
3.5719,29.6,6.948,1.341,906,2.2913,40.1251,-119.0704,1.3959
9.7722,6.0,8.2462,1.8511,499,3.9445,36.893,-122.9604,4.766
3.6192,6.2,6.35,1.3124,1026,2.4783,36.4427,-120.5783,2.0099
6.9762,25.5,2.0,0.8,216,3.0165,37.8073,-115.6806,3.3953
2.5595,23.6,4.4429,0.9131,340,3.6708,41.0952,-114.8741,0.901
3.962,8.0,6.8927,1.3018,471,3.8451,36.5183,-121.6959,2.1692
2.5345,1.2,4.2458,0.8299,1248,3.3183,40.5536,-114.6184,1.2219
3.6568,10.8,8.7402,1.8861,920,1.9194,38.363,-121.5945,1.6772
7.42,13.0,5.3736,1.3124,1021,1.1297,32.6178,-114.8518,3.557
1.5898,41.8,5.6705,1.3843,651,2.812,37.0239,-114.6779,0.5
5.8162,47.7,7.7495,1.4759,354,3.9713,34.5001,-119.1993,1.944
5.1688,21.7,5.1343,1.4231,2187,3.4497,33.9285,-114.5192,1.9751
3.1378,21.7,5.8526,1.0873,381,3.242,34.7272,-118.7326,0.9363
1.8821,37.3,7.2982,1.7569,930,2.993,39.268,-120.5217,1.1032
4.6799,33.0,2.5555,0.8,608,3.3091,38.4601,-115.9933,1.6307
3.2619,10.4,4.9294,1.1849,1044,2.0059,37.6001,-123.3605,1.655
5.1531,6.5,7.1583,1.324,410,3.7802,37.2051,-122.2251,2.7307
4.5408,23.3,5.6312,1.5761,1544,3.8463,36.1972,-122.2609,2.1832
11.7173,29.8,8.4347,2.0051,2003,2.6447,40.9224,-117.9682,5.0
3.8821,8.1,2.3482,0.8,1470,3.437,41.3583,-117.0568,1.8528
2.4252,16.0,2.12,0.8,755,1.2835,39.7622,-115.707,0.9956
4.9906,16.6,7.0394,1.7376,470,3.18,35.2381,-115.0514,2.2016
5.1141,14.3,7.2316,1.3651,6359,2.8669,41.1817,-115.312,1.8067
10.1301,24.5,5.1135,0.9908,301,4.2592,40.2818,-117.3391,4.4625
7.3969,34.3,6.3008,1.6976,1346,2.8014,33.6783,-114.8943,3.2044
5.5518,27.0,6.9904,1.5,868,3.8687,35.7459,-121.6068,3.2571
10.7831,11.3,3.8723,0.9811,633,2.6088,35.6123,-116.8846,4.6313
2.1962,6.2,4.0863,1.0397,771,1.0,39.4354,-123.695,1.6646
3.0531,42.9,5.8795,1.2428,442,2.7745,37.477,-123.1851,1.52
2.5704,25.4,7.3082,1.95,936,3.1968,35.0354,-122.1257,1.6555
3.547,4.2,3.1681,0.8,857,3.1508,34.6925,-123.4219,2.1702
1.962,14.2,5.1041,1.2723,5665,3.166,36.8463,-114.3605,0.5
6.5607,42.0,5.0115,0.9623,1567,2.4935,38.8266,-119.6044,2.8608
3.9223,39.3,6.3359,1.3747,1005,2.6763,37.3329,-114.9796,1.4087
1.8543,45.7,5.4826,1.395,1054,1.8737,34.9798,-119.4954,0.8731
2.4367,31.7,4.4082,0.8235,2898,1.0034,38.3899,-117.1534,1.0895
5.4092,22.6,7.9971,1.5541,306,2.8935,41.9897,-121.122,3.0173
7.4103,22.8,4.4215,1.097,575,2.2548,34.1784,-114.518,3.426
14.8506,10.9,4.9158,0.9066,145,4.0798,37.5198,-124.1336,5.0
15.0,34.2,2.317,0.8,1040,1.0,36.0687,-117.1773,5.0
5.7468,30.8,4.0727,0.9969,1311,3.291,34.575,-114.521,2.5345
2.4751,8.9,6.5322,1.5291,300,5.1215,40.8172,-116.2244,0.7009
1.247,46.2,6.1412,1.6036,2097,2.8172,41.5988,-115.8102,0.5
5.2626,19.8,6.699,1.3744,374,2.9973,35.8269,-121.3588,2.6653
2.7517,3.5,6.602,1.4306,506,3.4263,35.7993,-119.7556,1.2883
3.4931,17.7,9.6754,1.8294,732,3.5045,33.3717,-123.0701,1.5532
3.1042,45.4,4.0043,1.0057,2381,2.5915,38.3687,-120.5477,1.5143
4.1187,47.8,2.2612,0.8,335,1.9917,32.7522,-124.4114,2.1042
8.4959,26.0,3.3989,0.806,840,3.6527,37.214,-116.3229,3.8696
4.9245,49.8,4.0927,1.0792,1236,1.0919,33.9517,-114.4934,1.9658
4.0748,45.6,3.5513,0.8,1048,3.8322,38.887,-117.1411,1.3958
2.4075,43.1,5.6873,1.1525,1080,2.6082,41.3246,-115.9919,1.1551
1.6408,44.8,8.0053,1.572,1223,3.0031,33.3434,-119.1086,0.5
3.3475,20.5,8.5793,1.7172,427,2.4744,39.8885,-122.4875,1.6173
4.3394,39.6,6.5086,1.633,2566,4.4309,40.3904,-116.9314,1.5026
12.9456,30.4,9.7825,2.5871,609,3.249,34.174,-121.3575,5.0
4.8461,37.7,4.7873,1.0983,547,2.6783,41.2651,-119.675,1.8514
8.082,10.1,2.235,0.8,1955,2.6501,38.3987,-115.043,3.4001
3.3215,38.3,7.6064,1.828,402,2.8518,37.5819,-120.5842,2.3085
2.2013,49.8,2.0,0.8,859,5.3969,38.8784,-121.4616,1.1393
2.5116,16.4,3.99,0.8278,373,1.6829,35.237,-124.1672,1.5934
2.9004,51.3,6.5402,1.6769,4991,4.0829,32.7414,-117.1347,0.6994
15.0,20.3,5.2952,1.1547,4217,3.5681,36.6995,-122.2402,5.0
2.7378,11.2,5.1181,1.45,609,4.5398,39.5618,-117.7861,0.8613
7.4119,6.7,3.1384,0.8,1008,3.6291,41.2272,-120.6507,3.6878
2.6071,41.0,5.4784,1.2778,668,3.0034,36.586,-116.2294,0.6898
7.8377,29.3,7.5073,1.427,503,4.02,35.0047,-115.1561,3.3181
5.6461,16.7,5.5399,1.1206,732,3.2298,33.7473,-122.0251,2.74
4.0797,32.0,3.8395,1.0749,644,3.755,41.3872,-116.1807,1.6536
4.3734,17.9,3.0049,0.8,197,4.4282,34.694,-122.8955,1.8681
3.0257,23.9,3.8808,0.8,821,3.0925,41.1552,-123.0203,2.0347
5.857,45.0,6.2847,1.302,643,2.5756,34.2457,-120.0013,2.9074
3.411,35.1,6.1872,1.1546,854,2.3562,32.6723,-121.0927,1.9065
2.1482,39.9,3.899,0.8,625,3.4505,34.6301,-114.1348,0.8774
2.0818,30.8,2.0,0.8,499,2.1218,37.1815,-116.0582,1.1129
4.9707,51.6,6.34,1.4872,1339,2.6502,35.8127,-115.1525,2.2659
11.5589,13.3,3.7046,0.8821,1019,2.0324,41.1233,-123.072,5.0
4.9332,14.4,6.8781,1.5251,2032,3.5083,37.6783,-117.0034,1.8907
4.1738,5.7,3.9878,0.8,988,2.2478,33.6188,-118.155,1.6541
5.3201,29.3,3.5242,0.8,568,1.7133,38.4407,-123.458,2.7341
9.812,32.3,5.8063,1.4073,1089,1.8892,36.195,-116.1665,4.1077
5.1122,38.0,10.2154,1.8977,136,2.4289,38.9499,-115.5353,1.9683
3.5024,18.1,6.9981,1.428,3579,2.5197,39.9687,-114.902,1.2501
8.7039,1.6,5.7724,1.4316,828,3.2515,41.8627,-114.6319,3.8686
5.7965,33.2,6.2177,1.1703,3818,2.8384,37.9781,-123.368,3.0549
11.2622,51.9,2.0,0.8,332,3.3703,35.9841,-115.2372,4.4048
5.0025,16.0,3.2553,0.8,272,3.4506,36.6192,-114.5737,1.912
2.1497,10.4,2.0,0.8,891,3.7405,36.3249,-117.2467,0.5
1.9721,15.4,8.9597,1.6756,889,1.0922,36.7801,-122.5696,0.8175
12.068,22.7,8.5548,2.1221,872,1.8728,32.7856,-120.2912,5.0
12.6063,13.8,6.2856,1.5086,772,3.5549,34.8496,-123.5538,5.0
4.024,18.7,5.7702,1.1971,402,3.2114,41.8837,-124.4554,2.3817
3.5612,33.5,2.3968,0.8,203,3.9769,41.3161,-114.8393,1.6854
10.7711,18.6,5.0614,1.357,834,1.456,32.9587,-114.2904,4.3214
2.3066,21.2,9.0848,2.3177,238,2.5248,41.806,-114.8474,0.5
2.62,3.0,5.7628,1.068,221,2.7036,40.0236,-121.8334,1.5391
6.5929,47.8,4.3707,0.8647,491,3.1666,32.5261,-117.9783,2.1223
3.5369,21.8,2.0,0.8,939,3.0359,41.1779,-119.2532,1.2154
4.4679,17.7,8.2606,1.9597,3262,3.4691,41.6235,-119.2915,1.978
4.0631,5.4,5.3598,1.2074,1456,2.8853,38.4732,-120.0025,2.4326
5.4879,33.3,2.0,0.8,2093,4.3723,39.9891,-114.6176,2.3904
10.4279,45.1,3.6515,0.8,1122,4.6912,35.6591,-116.1957,4.3997
4.732,3.1,2.9449,0.8,892,1.8821,37.9371,-115.6079,1.9455
6.5953,8.4,5.2365,1.4512,4938,3.0451,39.4497,-124.1366,3.1514
1.3098,8.5,5.9147,1.1511,231,3.798,37.832,-120.1745,1.0902
4.3526,31.7,4.4936,1.2427,478,3.5853,35.3937,-118.2212,1.3059
2.7022,48.0,7.0541,1.3406,509,2.5922,38.6674,-117.5834,0.5
2.157,23.3,5.6576,1.5775,1359,3.2549,40.465,-115.1038,0.8574
2.6462,18.5,7.6246,2.0302,304,1.4165,40.4421,-122.7465,1.6707
3.6676,40.1,4.7856,1.2397,1225,2.9809,33.7556,-123.5546,2.5517
7.7643,38.9,11.5907,2.9372,1058,1.5397,36.7315,-115.1214,3.5283
2.0222,13.6,4.371,1.0157,1275,3.508,32.868,-119.1805,0.7925
4.5648,9.2,3.6933,0.8,1257,1.884,38.5113,-118.8382,1.8747
3.3518,19.2,3.4474,0.8,2277,3.163,34.8005,-115.155,1.098
3.6818,40.6,5.0781,1.1163,639,3.3192,41.3384,-116.627,1.2992
8.1797,36.4,2.0609,0.8,1017,3.0759,38.3734,-116.8271,3.6365
6.1896,35.0,6.0891,1.4713,369,2.368,36.3059,-122.5467,3.4588
9.9985,43.3,2.0,0.8,307,2.7896,39.4489,-117.9752,4.4362
4.0849,15.1,5.8233,1.565,2729,4.1811,34.4702,-119.7743,1.6419
2.9519,18.3,2.7975,0.8,347,2.5754,33.3686,-118.0841,0.9238
3.9184,3.2,4.7374,1.2825,1111,3.0214,33.3301,-118.4554,1.9276
5.1836,45.3,6.7091,1.7079,1017,2.4432,38.0366,-124.2241,3.0902
4.9826,30.7,10.1081,2.163,1703,4.0204,40.9443,-120.8893,2.5487
2.3382,16.2,3.344,0.8913,177,3.0778,34.6162,-119.6931,0.9992
4.7317,4.5,5.1994,1.4048,1357,2.236,39.7205,-119.2477,2.1662
5.1394,37.9,4.0525,0.8,635,3.0071,32.8574,-123.4556,2.3693
15.0,39.2,3.7603,1.0063,412,2.759,35.8567,-115.0653,5.0
13.8199,35.0,4.0701,0.863,544,4.3926,38.7103,-120.9897,5.0
2.686,11.4,7.1481,1.7003,1524,2.9553,40.3494,-119.3611,1.0066
3.7719,47.6,4.5239,0.8547,1194,1.6173,41.4603,-117.5309,1.7201
1.8625,39.4,9.9986,2.0343,600,3.4986,38.5094,-116.9496,0.7958
3.1443,34.5,6.332,1.7497,267,4.7861,36.8954,-120.5307,1.7351
5.416,34.2,3.48,0.8,283,4.1969,33.076,-123.1443,2.8734
9.2397,47.1,4.7666,1.1014,1215,1.8971,35.1187,-122.3232,4.3553
2.8937,48.3,3.8963,0.9511,239,2.7313,41.2696,-122.767,1.4915
3.0268,31.4,7.1001,1.4653,605,2.9693,38.0375,-121.9366,1.5282
1.2357,22.3,2.2224,0.8,5681,2.9815,35.7554,-118.1617,0.5
4.0649,19.6,2.8181,0.8,961,3.381,34.8638,-118.8745,1.7735
2.3692,42.8,4.3169,1.027,1204,2.6559,33.5797,-122.7294,1.2901
3.262,33.9,6.8659,1.8008,285,2.0844,39.6402,-117.3441,1.5357
2.6482,4.9,7.9661,1.6997,249,3.9518,36.4176,-123.8311,1.1105
4.2353,8.3,8.2611,1.5259,1257,1.8764,41.3972,-114.9491,1.6456
1.5611,46.9,6.5596,1.5138,531,2.1979,36.8167,-118.555,0.5
1.8585,46.1,5.3342,0.9712,1701,1.8702,40.2746,-118.3006,0.7209
15.0,49.5,7.0893,1.84,746,3.6122,33.7373,-121.4981,5.0
2.07,22.8,3.211,0.8,11443,3.1065,33.9336,-119.1278,0.5
2.3208,41.0,2.0,0.8,456,3.8835,35.0955,-120.0243,0.8423
13.4927,43.2,6.3733,1.307,908,2.2148,34.3167,-114.5172,5.0
15.0,17.1,3.4886,0.9381,352,1.747,41.779,-123.6997,5.0
2.219,8.4,5.3694,1.2929,1645,2.5561,40.1773,-119.6833,0.658
3.5932,51.8,5.7393,1.5633,1025,2.8175,35.8099,-116.1891,1.3261
5.501,2.5,5.9962,1.2748,334,3.2091,37.4383,-118.7819,2.5987
12.6445,31.5,7.3756,1.3419,559,1.3176,37.5659,-118.5652,5.0
2.4791,34.2,7.1642,1.6859,2159,3.4787,38.2685,-114.9322,0.6474
3.8684,35.8,5.89,1.5395,1961,2.1058,33.4844,-120.5552,1.9975
7.1449,14.0,4.616,1.1433,232,2.3526,35.8153,-124.4783,3.1505
5.8174,37.8,5.7155,1.2314,496,4.1737,33.3163,-114.7805,2.5494
3.5762,12.0,4.3076,0.9288,3094,1.0,41.2311,-124.1529,2.6818
4.1359,43.3,5.1071,1.2898,630,3.3225,36.3328,-116.1273,1.164
1.9642,12.2,10.7363,2.1467,834,3.3187,39.4067,-123.0343,1.4562
3.8849,36.5,5.8644,1.5953,1639,2.1812,41.2479,-124.2828,2.0652
3.8197,41.0,6.4005,1.3486,248,2.553,35.4397,-120.776,2.0926
5.1516,10.6,4.089,0.9397,340,4.221,33.3346,-115.4274,2.0759
3.2117,13.1,7.5401,2.0084,556,4.9629,35.6941,-124.1122,1.2882
5.9472,40.7,7.0205,1.4722,1889,4.0647,38.8744,-121.7419,3.0654
8.2287,5.4,7.0347,1.4516,1629,4.8859,37.2481,-121.57,3.9536
4.9197,10.7,5.9298,1.3538,1282,2.3087,33.2121,-123.5045,2.6061
5.5348,24.2,7.5684,1.4852,645,1.4199,33.1669,-123.5281,2.8697
4.6269,48.4,8.0434,1.78,1779,2.9474,39.1458,-114.9641,1.5877
4.4819,29.7,6.0662,1.4899,638,3.8049,39.4972,-117.1994,1.7106
2.9068,20.8,5.2708,0.9748,1144,1.1452,33.5403,-121.2331,1.1556
5.4189,50.9,7.2891,1.3528,1495,2.0735,40.0498,-121.9976,2.271
4.2276,24.6,3.6917,1.0001,2800,2.1846,35.7828,-124.0497,2.0959
15.0,23.1,4.0641,0.8,689,3.3566,33.148,-120.7327,5.0
11.5192,22.0,5.3934,1.0678,539,3.2276,35.6717,-121.3381,5.0
5.6492,16.9,2.0173,0.8,2031,2.2248,39.4395,-114.8707,2.255
2.8354,17.6,7.1552,1.5765,2159,3.1798,38.7299,-122.1847,1.5447
2.2992,36.1,3.5742,1.0012,467,1.8552,37.074,-120.246,1.4936
9.1585,3.1,4.557,0.9742,298,2.5736,35.1567,-117.3389,4.1703
5.247,35.8,5.0734,0.9454,1911,1.7352,36.4703,-121.1276,3.2687
5.978,11.3,5.5786,1.3168,194,2.8498,36.1253,-116.2912,2.6543
1.5734,20.6,4.8127,1.0654,186,2.1995,36.2052,-116.8743,0.5
7.8183,8.5,5.3653,1.3565,581,3.6904,37.1521,-124.1276,3.9771
5.8864,29.2,5.3807,1.1743,722,2.9738,36.8252,-115.5138,2.7766
2.3019,38.2,4.6059,0.9022,285,2.7733,33.4735,-120.679,0.862
3.3773,19.1,3.9536,1.0059,794,4.7681,35.2566,-123.4935,1.6857
5.25,9.3,7.6629,1.6633,823,3.3833,33.7265,-117.1674,1.862
4.625,12.6,2.0,0.8,453,2.6318,38.2199,-116.655,1.7743
3.761,42.7,5.0886,1.0186,3384,2.4163,36.5167,-123.7544,2.1155
4.2119,14.7,4.5622,0.9303,938,1.8188,38.8833,-120.7838,2.8832
3.8529,40.5,6.3376,1.294,1641,2.9341,33.3322,-115.0975,1.6987
4.9113,17.9,2.5914,0.8,207,3.3076,35.7766,-117.4709,2.0903
10.8362,10.6,4.5004,0.9578,206,1.0856,34.2133,-118.8938,4.827
0.9608,38.1,5.2953,1.1027,961,1.636,33.3748,-119.2068,0.5
3.888,24.9,7.6401,1.5715,2933,2.4839,39.8477,-118.1116,1.6995
4.9824,2.6,6.1644,1.3255,297,1.9018,33.7439,-117.6433,2.5117
5.3527,50.0,3.133,0.8,746,3.0433,34.1617,-123.7772,2.4329
3.5853,8.5,4.525,1.1319,248,3.1822,35.9844,-120.9914,1.9954
1.562,19.0,7.2721,2.0135,374,2.8777,35.2812,-118.9702,0.5
5.4564,20.6,3.0985,0.8,776,3.5502,41.2383,-116.8314,2.2485
12.6342,26.0,5.3427,1.4753,449,2.4151,41.8921,-116.7009,5.0
1.7855,41.1,5.4818,1.0331,234,2.9541,36.5128,-118.1422,0.5
7.5255,1.3,4.7284,1.0008,230,1.9967,34.4108,-118.3415,3.5375
3.6799,48.6,10.8915,2.0406,147,3.2846,37.2321,-120.6386,2.4216
4.3198,33.9,4.6745,1.0096,974,3.0759,37.2089,-115.7356,1.6824
2.3828,49.5,6.3995,1.2446,1073,1.8015,36.9274,-114.8778,0.9184
3.6668,42.7,3.9674,0.8027,1069,2.8449,32.6932,-115.6137,1.5842
9.7769,48.3,6.5555,1.4407,321,2.9622,33.7196,-115.3448,4.0748
6.3572,31.7,7.2416,1.7133,1487,3.281,33.8396,-114.9575,2.6754
12.6719,19.2,4.3241,1.2334,1171,3.3181,35.8417,-122.3783,5.0
9.0834,23.6,5.3906,1.347,669,2.2788,38.0175,-119.1043,3.785
5.8325,34.6,3.7094,0.8,587,3.7636,40.8395,-118.8873,2.4583
12.7606,22.8,3.2112,0.8,396,3.5231,34.6219,-119.403,5.0
5.8322,38.3,7.5736,1.5136,776,2.2754,39.8264,-115.5909,2.6487
7.3654,5.7,4.392,0.9723,2426,1.8573,34.649,-121.0871,3.6669
3.7511,43.3,2.0,0.8,1653,2.3518,32.8099,-122.8062,1.6705
4.6643,11.4,9.0307,1.6473,542,1.5284,38.6737,-121.6198,2.9271
2.9492,49.1,3.8958,1.084,1023,3.208,34.539,-122.9972,1.5428
8.1153,8.9,5.0073,1.0736,276,4.1836,41.2367,-120.2497,3.956
2.2101,7.6,8.7818,1.9855,1193,4.4215,41.3675,-123.2735,1.138
7.1664,42.4,5.2165,1.428,342,1.9107,33.4978,-123.5805,3.3254
3.9973,42.8,5.1733,1.317,1155,3.7868,34.3498,-119.7644,1.4254
9.0499,38.7,3.0437,0.8,7153,3.0845,34.4989,-118.188,3.9427
7.0324,50.0,2.2303,0.8,422,1.0,41.1587,-118.1198,2.824
13.3616,14.8,5.1672,1.0128,6893,2.6676,33.2412,-123.531,5.0
6.9481,43.2,6.2256,1.3106,985,2.5563,39.6361,-114.2985,3.195
1.745,19.0,6.1111,1.6509,365,4.2108,35.2332,-123.2217,1.1908
4.3052,28.4,4.5375,1.1139,352,2.129,38.0331,-117.5651,1.2698
2.2184,23.7,5.5405,1.4679,4411,3.5631,34.1842,-115.1693,1.128
3.2839,1.3,2.0,0.8,987,2.8929,40.162,-115.21,1.2846
11.0977,30.3,6.4203,1.4061,423,1.5542,38.8723,-119.1226,5.0
6.57,39.1,5.8228,1.661,565,2.4478,32.7009,-121.5867,3.2224
2.9466,9.9,9.4473,2.0601,939,4.5316,34.7528,-115.8074,1.1004
2.4394,48.5,5.515,1.235,661,2.8266,36.9303,-118.0678,0.8289
4.5707,28.1,3.6147,0.8,877,3.9059,37.5462,-116.194,1.5452
2.1599,10.1,5.3986,1.5123,2749,3.8511,40.3591,-120.3001,1.14
2.9961,33.9,4.8444,1.3567,270,2.5517,36.1762,-114.909,0.5242
